nome,genero,data,cidade,estado
Alessandro Cowterd,Male,27/12/1999,New York City,New York
Cathie Bernhardi,Female,07/10/1999,Brooklyn,New York
Dorothee McCluskey,Female,14/12/1999,Buffalo,New York
Mace Scrine,Male,13/03/2000,New York City,New York
Ethyl Suttie,Female,18/11/1999,New York City,New York
Zebulon McSperron,Male,23/11/1999,Brooklyn,New York
Christyna Bredes,Female,18/12/1999,Shawnee Mission,Kansas
Marlin Brent,Male,17/10/1999,Schenectady,New York
Lindsay Gerbel,Male,08/10/1999,Great Neck,New York
Corena Jennins,Female,02/02/2000,Bronx,New York
Nona Moule,Female,23/11/1999,Wichita,Kansas
Doralyn Elcome,Female,22/10/1999,New York City,New York
Danit Feldharker,Female,21/02/2000,New York City,New York
Juliann Hindshaw,Female,13/02/2000,Rochester,New York
Vassily Barnett,Male,31/10/1999,New York City,New York
Alicea Camsey,Female,10/02/2000,Staten Island,New York
Jamie Frotton,Female,25/02/2000,Hicksville,New York
Kassie Rydings,Female,24/02/2000,Shawnee Mission,Kansas
Ade Blemings,Male,21/10/1999,New York City,New York
Lancelot Lynnett,Male,29/02/2000,New York City,New York
Danice Hardwin,Female,09/12/1999,Shawnee Mission,Kansas
Conny Skace,Female,17/10/1999,Albany,New York
Gregory Lowne,Male,09/10/1999,Rochester,New York
Elyn Jenking,Female,12/12/1999,Rochester,New York
Phyllys Filipyev,Female,13/12/1999,Flushing,New York
Carol O'Shiels,Female,24/02/2000,Jamaica,New York
Gusti Elcoat,Female,06/03/2000,New York City,New York
Hilliard Gosnold,Male,19/11/1999,Syracuse,New York
Juliette Whaymand,Female,08/10/1999,Buffalo,New York
Ellary Bird,Male,01/10/1999,Brooklyn,New York
Cirillo Nuzzetti,Male,27/10/1999,Staten Island,New York
Nicolas Godfree,Male,17/11/1999,Buffalo,New York
Markos Brambill,Male,22/01/2000,New York City,New York
Brand Knapman,Male,29/03/2000,Kansas City,Kansas
Florri Ellicombe,Female,23/12/1999,Albany,New York
Emmalyn Ingree,Female,15/12/1999,Shawnee Mission,Kansas
Pietra Margerison,Female,21/01/2000,Topeka,Kansas
Kiele Banner,Female,22/02/2000,New York City,New York
Teddi Decaze,Female,07/01/2000,Topeka,Kansas
Gwendolin Berget,Female,09/11/1999,Kansas City,Kansas
Carole Matevosian,Female,23/10/1999,Topeka,Kansas
Letta Pfaffel,Female,14/02/2000,Utica,New York
Meyer Gudgeon,Male,11/01/2000,New York City,New York
Gerda Fashion,Female,27/01/2000,New York City,New York
Randi Goodnow,Male,01/10/1999,Jamaica,New York
Andie Abley,Male,29/10/1999,Great Neck,New York
Dun Cheeld,Male,28/10/1999,Bronx,New York
Federico Chatten,Male,27/11/1999,Brooklyn,New York
Opaline Tyce,Female,10/03/2000,Topeka,Kansas
Dareen Vittori,Female,18/02/2000,Staten Island,New York
Sheeree Shoobridge,Female,18/12/1999,Albany,New York
Seamus Brenston,Male,14/01/2000,Wichita,Kansas
Chic MacConneely,Male,17/01/2000,Topeka,Kansas
Pru Fugere,Female,30/12/1999,Wichita,Kansas
Zacherie Frantz,Male,22/03/2000,Brooklyn,New York
Francklin Jarlmann,Male,23/12/1999,Rochester,New York
Barton McLarens,Male,02/02/2000,New York City,New York
Riccardo Shiels,Male,28/01/2000,Albany,New York
Denny Trowl,Male,29/10/1999,Great Neck,New York
Anatollo Arington,Male,25/11/1999,Wichita,Kansas
Godfree Schoenleiter,Male,27/03/2000,Rochester,New York
Fawnia Vaulkhard,Female,19/01/2000,Kansas City,Kansas
Tanya Plumtree,Female,19/03/2000,New York City,New York
Magdalen Mungin,Female,02/11/1999,New York City,New York
Jacquelyn Grundon,Female,09/03/2000,New York City,New York
Lesya Neeve,Female,15/10/1999,Buffalo,New York
Elga Hillam,Female,11/01/2000,Brooklyn,New York
Shirley Blazeby,Female,01/10/1999,Topeka,Kansas
Mariel Hosten,Female,28/02/2000,Albany,New York
Josi Skelton,Female,04/11/1999,Syracuse,New York
June Jeskins,Female,04/12/1999,Wichita,Kansas
Alvis Bernadon,Male,05/11/1999,Albany,New York
Bentley Birt,Male,07/12/1999,Buffalo,New York
Cly Hritzko,Male,19/03/2000,Albany,New York
Borg Ross,Male,22/11/1999,New York City,New York
Dermot Messom,Male,23/03/2000,Albany,New York
Frederick Alcorn,Male,23/02/2000,New York City,New York
Herschel Whether,Male,21/03/2000,Bronx,New York
Winni Sandes,Female,27/10/1999,Wichita,Kansas
Emmott Ortsmann,Male,15/12/1999,Jamaica,New York
Farley Endrizzi,Male,24/11/1999,New York City,New York
Fields Grigsby,Male,29/01/2000,Jamaica,New York
Chick McCuish,Male,22/12/1999,Jamaica,New York
Althea Dasent,Female,07/11/1999,Brooklyn,New York
Norah Stenners,Female,05/10/1999,New York City,New York
Talbert Brim,Male,19/10/1999,New York City,New York
Giavani Gissop,Male,27/11/1999,Topeka,Kansas
